site_slug,date,day_active,slot_count
devonshire,Monday 28 September 2026,True,2
devonshire,Tuesday 29 September 2026,True,1
devonshire,Wednesday 30 September 2026,True,0
devonshire,Thursday 1 October 2026,True,3
devonshire,Friday 2 October 2026,True,3
devonshire,Saturday 3 October 2026,True,0
devonshire,Sunday 4 October 2026,True,0
devonshire,Monday 5 October 2026,True,0
devonshire,Tuesday 6 October 2026,True,5
devonshire,Wednesday 7 October 2026,False,0
devonshire,Thursday 8 October 2026,False,0
devonshire,Friday 9 October 2026,False,0
devonshire,Saturday 10 October 2026,False,0
devonshire,Sunday 11 October 2026,False,0
didsbury,Monday 21 September 2026,False,0
didsbury,Tuesday 22 September 2026,False,0
didsbury,Wednesday 23 September 2026,True,0
didsbury,Thursday 24 September 2026,True,0
didsbury,Friday 25 September 2026,True,0
didsbury,Saturday 26 September 2026,True,0
didsbury,Sunday 27 September 2026,True,0
didsbury,Monday 28 September 2026,True,0
didsbury,Tuesday 29 September 2026,True,0
didsbury,Wednesday 30 September 2026,True,0
didsbury,Thursday 1 October 2026,True,0
didsbury,Friday 2 October 2026,True,0
didsbury,Saturday 3 October 2026,True,0
didsbury,Sunday 4 October 2026,True,0
didsbury,Monday 5 October 2026,True,0
didsbury,Tuesday 6 October 2026,True,1
didsbury,Wednesday 7 October 2026,False,0
didsbury,Thursday 8 October 2026,False,0
didsbury,Friday 9 October 2026,False,0
didsbury,Saturday 10 October 2026,False,0
didsbury,Sunday 11 October 2026,False,0
ealing,Monday 21 September 2026,False,0
ealing,Tuesday 22 September 2026,False,0
ealing,Wednesday 23 September 2026,True,0
ealing,Thursday 24 September 2026,True,0
ealing,Friday 25 September 2026,True,0
ealing,Saturday 26 September 2026,True,0
ealing,Sunday 27 September 2026,True,0
ealing,Monday 28 September 2026,True,0
ealing,Tuesday 29 September 2026,True,0
ealing,Wednesday 30 September 2026,True,0
ealing,Thursday 1 October 2026,True,0
ealing,Friday 2 October 2026,True,0
ealing,Saturday 3 October 2026,True,0
ealing,Sunday 4 October 2026,True,0
ealing,Monday 5 October 2026,True,0
ealing,Tuesday 6 October 2026,True,0
ealing,Wednesday 7 October 2026,False,0
ealing,Thursday 8 October 2026,False,0
ealing,Friday 9 October 2026,False,0
ealing,Saturday 10 October 2026,False,0
ealing,Sunday 11 October 2026,False,0
east-kilbride,Monday 21 September 2026,False,0
east-kilbride,Tuesday 22 September 2026,False,0
east-kilbride,Wednesday 23 September 2026,True,0
east-kilbride,Thursday 24 September 2026,True,0
east-kilbride,Friday 25 September 2026,True,0
east-kilbride,Saturday 26 September 2026,True,0
east-kilbride,Sunday 27 September 2026,True,0
east-kilbride,Monday 28 September 2026,True,0
east-kilbride,Tuesday 29 September 2026,True,0
east-kilbride,Wednesday 30 September 2026,True,0
east-kilbride,Thursday 1 October 2026,True,0
east-kilbride,Friday 2 October 2026,True,0
east-kilbride,Saturday 3 October 2026,True,0
east-kilbride,Sunday 4 October 2026,True,0
east-kilbride,Monday 5 October 2026,True,0
east-kilbride,Tuesday 6 October 2026,True,0
east-kilbride,Wednesday 7 October 2026,False,0
east-kilbride,Thursday 8 October 2026,False,0
east-kilbride,Friday 9 October 2026,False,0
east-kilbride,Saturday 10 October 2026,False,0
east-kilbride,Sunday 11 October 2026,False,0
edinburgh,Monday 21 September 2026,False,0
edinburgh,Tuesday 22 September 2026,False,0
